id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,lang
cx_en_000000_31eb41,"I am not a man of the First Nations. However, I much prefer living among the First Nations rather than living among white people. It's a cultural thing.",0.0,0,0,0,0,0,en
cx_en_000000_2364ea,It's time to start talking about the aboriginal plight without just blaming white people.,0.0,0,0,0,0,0,en
cx_en_000000_6404ac,It is no assumption he is a white male. Nothing has been reported about his religion except what IS wants everyone to believe.,0.0,0,0,0,0,0,en
cx_en_000000_09b4d3,"The white vote in 2016 was more evenly split than was the African-American, Asian-American or Latino vote.",0.0,0,0,0,0,0,en
cx_en_000000_e37ae7,Some prominent African-Americans have opined that he is not. Do you know him personally?,0.0,0,0,0,0,0,en
cx_en_000000_37af7a,I'm Black and I don't see any issue with it. I think it would be a funny name for a dark beer.,0.0,0,0,0,0,0,en
cx_en_000000_3b963e,Olrun -- The schools in Florida only have their kids for 6 out of 24 hours too-- yet their low-income Hispanic students have better 4th reading scores than Alaska kids. Try another theory.,0.0,0,0,0,0,0,en
cx_en_000000_5744b7,People like David Ham think Hispanic is a race.,0.0,0,0,0,0,0,en
cx_en_000000_9d90a6,Shouldn't we have Asian members in the judiciary?,0.0,0,0,0,0,0,en
cx_en_000000_613233,Never underestimate an Asian Leader or country! They may be wiser and professionally adapt to get the best of their enemies!,0.0,0,0,0,0,0,en
cx_en_000000_192c66,Interesting - - why is it that 29% percents of Latinos voted for Trump?,0.0,0,0,0,0,0,en
cx_en_000000_be0925,"I'm Catholic, I believe in Purgatory.",0.0,0,0,0,0,0,en
cx_en_000000_42b927,"Unlike the aforementioned bishops, Archbishop Martin is Catholic.",0.0,0,0,0,0,0,en
cx_en_000000_10d304,"Being baptized can't be undone. Catholic apostatize, however.",0.0,0,0,0,0,0,en
cx_en_000000_09291a,The Register does not attack the Catholic Church.,0.0,0,0,0,0,0,en
cx_en_000000_af86ca,The same comment would equally apply to the National Catholic Register.,0.0,0,0,0,0,0,en
cx_en_000000_0b809b,The Catechism of the Catholic Church is part of the Magisterium.,0.0,0,0,0,0,0,en
cx_en_000000_00fa2d,Most likely not. Catholic Answers is a good starting point to learn.,0.0,0,0,0,0,0,en
cx_en_000000_1a5a67,Yazidis are not Christian.,0.0,0,0,0,0,0,en
cx_en_000000_b44f89,Not all the founding fathers were Christian.,0.0,0,0,0,0,0,en
cx_en_000000_0ad38b,The Christian Science Reading Room was closed.,0.0,0,0,0,0,0,en
cx_en_000000_410605,Fr. Martin employs what is right with Christianity.,0.0,0,0,0,0,0,en
cx_en_000000_48382c,Everything I've read about him identifies him as a devout Christian.,0.0,0,0,0,0,0,en
cx_en_000000_a038cf,"Once upon a time, giving freely to the poor expressed Christian charity.",0.0,0,0,0,0,0,en
cx_en_000000_3fff6c,"What a magnificent, heart-warming, truly Christian ministry. It brought tears and a smile.",0.0,0,0,0,0,0,en
cx_en_000000_3958d2,Peaceful Muslims are on our side.,0.0,0,0,0,0,0,en
cx_en_000000_ef35a4,Hebrew is an ethnic group. Jewish is not.,0.0,0,0,0,0,0,en
cx_en_000000_5ab95a,"I could be wrong, but I think that reflects Hindu belief..",0.0,0,0,0,0,0,en
cx_en_000000_4e5bb7,"If the Church were to fire all employees who might be deemed sinners, there would be no one left. Gays are being singled out for firing. This is discrimination and unchristian.",0.0,0,0,0,0,0,en
cx_en_000000_290ec7,She makes me happy to be gay!,0.0,0,0,0,0,0,en
cx_en_000000_f6d7e5,I agree with the first comment except being gay is not a life choice. It's who you are just like being straight isn't a choice. That's how you were born.,0.0,0,0,0,0,0,en
cx_en_000000_083208,"Nationwide, if gays can marry, we can carry. Happy Pride weekend!",0.0,0,0,0,0,0,en
cx_en_000000_5579ec,"A lot of gay people should order cakes from this guy but only tell him afterwards, sending along a few wedding photos.",0.0,0,0,0,0,0,en
cx_en_000000_07e7f9,"I agree. I just prefer to be called the gay community, and I am technically bi, but just prefer being with men.",0.0,0,0,0,0,0,en
cx_en_000000_491acc,I guess Gorsuch has tipped his hand on how he will treat issues pertinent to gay rights.,0.0,0,0,0,0,0,en
cx_en_000000_22264d,Should gays discriminate against the baker by not doing business with him?,0.0,0,0,0,0,0,en
cx_en_000000_129641,"Unknown, anyone who thinks that LGBT youth don't get bullied more than 'normal' kids in middle and high schools might qualify as a 'know nothing.'",0.0,0,0,0,0,0,en
cx_en_000000_bd1525,Are Christian intervenors heard in cases involving LGBT issues?,0.0,0,0,0,0,0,en
cx_en_000000_a6dda2,What Fr Martin is actually calling for is dialogue between the hierarchy and the LGBT community.,0.0,0,0,0,0,0,en
cx_en_000000_bc4d11,Why not? It certainly appears that there is plenty of news coverage of other countries and other stories. Or is it stories about LGBT people that bother you?,0.0,0,0,0,0,0,en
cx_en_000000_822db9,Do you think admitting you're LGBTQ makes life easier for you?,0.0,0,0,0,0,0,en
cx_en_000000_8c96a2,"When the legislature decided, on same sex marriages, they did not fear the churches. Why now ?",0.0,0,0,0,0,0,en
cx_en_000000_dd7c35,MSW tells us that he talks to a lot of people in chanceries about same-sex issues. Why am I not surprised to learn this?,0.0,0,0,0,0,0,en
cx_en_000000_0153c1,It's like the people who claim that same-sex marriage will harm traditional marriage. Although they are more than a bit vague on how these marriages will be affected in any way.,0.0,0,0,0,0,0,en
cx_en_000000_8d3acc,"Having spent years supporting a government that virulently opposed same-sex marriage, I suppose Ibbitson has some making up to do.",0.0,0,0,0,0,0,en
cx_en_000000_2a49ed,"In other words, the Republican platform supports discrimination against homosexuals under the guise of practicing one's religion. A profoundly anti-Christian stance.",0.0,0,0,0,0,0,en
cx_en_000000_555158,Especially when these actions are natural for them. There are plenty of other articles on Epigenesis and homosexuality. I just took the first one because I was in a hurry. Google it.,0.0,0,0,0,0,0,en
cx_en_000000_af6114,"King approved of the Church's view that homosexuals should be loved and respected. However, he disapproved of the conduct that you want the Church to approve.",0.0,0,0,0,0,0,en
cx_en_000000_08b449,I look forward to your equally critical remarks on the article Jim linked to discussing the homosexuality of one of the Capitol Police.,0.0,0,0,0,0,0,en
cx_en_000000_e85024,"Just a thought -- why don't we all READ Fr Martin,s book about homosexuality, and then people could agree or disagree with things he actually says!",0.0,0,0,0,0,0,en
cx_en_000000_d6da91,"Will be a better day when a person's sexual orientation, race or religion are not news worthy,",0.0,0,0,0,0,0,en
cx_en_000000_1d9062,"Maybe Patrick Brown needs to a - receive a lesson in economics and b- come into the 21st century with things like women's rights, abortion, sexual orientation etc",0.0,0,0,0,0,0,en
cx_en_000000_81db76,"Could be part of their asexuality. Making waves invites interaction. They don't like deep connection, which making waves engenders. Being nice enough is a coping skill for their sexual orientation.",0.0,0,0,0,0,0,en
cx_en_000000_4356f2,"Alan Turing was also chemically castrated and after he helped defeat the Nazis by decoding their secrets. Had he been a heterosexual, he would have been hailed as a hero.",0.0,0,0,0,0,0,en
cx_en_000000_4927ee,"If we're really at the point where a thrice-married man (HETEROSEXUAL THOUGH!) and confirmed adulterer is considered a defender of Catholic values, then I give up.",0.0,0,0,0,0,0,en
